frame_no,translation
89109,1.1938890486072798e-15
89119,-9.401913131046856e-14
89129,-5.266762620461747e-14
89139,-2.6148205690334787e-13
89149,-7.082995709829312e-13
89159,-7.03575876741651e-13
89169,-6.029518351833414e-13
89179,-6.542610674092169e-13
89189,-6.87641139483295e-13
89199,-5.010906998993047e-13
89209,-4.978637741890453e-13
89219,-6.351622948243961e-13
89229,-6.780956132351447e-13
89239,-8.534737172944648e-13
89249,-9.464916416986063e-13
89259,-9.515026631595041e-13
89269,-8.656361721472515e-13
89279,-9.216772471058865e-13
89289,-9.088502690920051e-13
89299,-8.24872103758812e-13
89309,-7.361135489766814e-13
89319,-7.445193716895384e-13
89329,-5.293928619610914e-13
89339,-3.3753266876153787e-13
89349,-2.7042566335690238e-15
89359,4.315213190302807e-13
89369,6.614142949544008e-13
89379,5.356983121800862e-13
89389,4.388540502887447e-13
89399,3.2281400613910126e-13
89409,5.16934908195232e-13
89419,6.039005234944677e-13
89429,8.005549251821684e-13
89439,1.0400678255841147e-12
89449,9.280751009913186e-13
89459,1.0029341296571717e-12
89469,1.1701643887922149e-12
89479,1.2095979611955328e-12
89489,8.649572873377442e-13
89499,6.65240501303322e-13
89509,4.174469582185727e-13
89519,2.722437731919859e-13
89529,3.705140419248389e-13
89539,3.0400577681310263e-13
89549,2.312183958429906e-14
89559,-5.165791684935722e-13
89569,-8.661074716738821e-13
89579,-9.855798943428519e-13
89589,-1.3404597309145938e-12
89599,-1.5281922499311044e-12
89609,-1.5756979020615431e-12
89619,-1.5728802460772842e-12
89629,-1.5274173532856265e-12
89639,-1.4617813851932302e-12
89649,-1.6570729534960534e-12
89659,-1.806986275137346e-12
89669,-1.7397684886079253e-12
89679,-1.8942332544587737e-12
89689,-2.231874609098758e-12
89699,-2.4004137492216263e-12
89709,-2.3229398842360375e-12
89719,-2.149303480571663e-12
89729,-2.090716531129968e-12
89739,-1.696460069109723e-12
89749,-1.36073125625902e-12
89759,-1.1849503572220627e-12
89769,-1.073464747726101e-12
89779,-1.0367896866645378e-12
89789,-8.226673050453741e-13
89799,-5.799468096242435e-13
89809,-5.271312737928377e-13
89819,-4.4147162998846966e-13
89829,-3.0405533709619475e-13
89839,-1.841391438076112e-13
89849,1.0453129618230904e-13
89859,1.750618726403301e-14
89869,1.4323996590728223e-14
89879,2.3499470162291006e-13
89889,3.5278852726008363e-13
89899,2.5285864918711655e-13
89909,4.3470146928023913e-13
89919,3.973862245699528e-13
89929,4.500232220742886e-13
89939,6.415139550951491e-13
89949,7.257115194622777e-13
89959,8.506086412147708e-13
89969,1.0531604183751953e-12
89979,1.08539262906487e-12
89989,1.0678357513781776e-12
89999,8.640116167848723e-13
90009,8.970078256014679e-13
90019,8.072833189235087e-13
90029,7.401886128602118e-13
90039,7.434358198825699e-13
90049,6.150618532220707e-13
90059,6.000569338925062e-13
90069,6.511442386693986e-13
90079,6.040575034538477e-13
90089,5.609480055869203e-13
90099,4.567409976341363e-13
90109,2.9001413640733637e-13
90119,7.142682598946296e-14
90129,-1.6077821816945616e-13
90139,-2.547763805706287e-13
90149,-2.847925561649768e-13
90159,-1.8633463751177112e-13
90169,1.144451514698972e-13
90179,2.996586286052601e-13
90189,5.168799067204096e-13
90199,3.9043082796389916e-13
90209,3.2492150665399115e-13
90219,9.659311300955831e-14
90229,2.0268102089678164e-13
90239,4.833905288453518e-13
90249,6.273432680145844e-13
90259,3.369463469729771e-13
90269,6.068989448688927e-14
90279,1.761839069231115e-14
90289,3.560392707141244e-13
90299,2.994324444049409e-13
90309,4.1627470555321195e-13
90319,4.418221589220397e-13
90329,4.546450402296946e-13
90339,6.882446624883449e-13
90349,5.546135579233637e-13
90359,8.500291423460312e-13
90369,8.573646845812854e-13
90379,7.577901358361929e-13
90389,7.456498191946748e-13
