frame_no,translation
10,1.0144638397477865e-12
20,1.2459707405655073e-12
30,1.545158782083303e-12
40,1.245712971106166e-12
50,7.785474441469454e-13
60,4.2362761374569656e-13
70,2.422259205445807e-13
80,-1.5344581340016918e-13
90,1.9912900847970324e-14
100,1.5788731069838302e-13
110,-1.51044830920728e-13
120,-3.1639649812925233e-13
130,-5.822029765896394e-13
140,-8.134190575687372e-13
150,-7.05938689559304e-13
160,-8.092941040095969e-13
170,-9.652236104111792e-13
180,-9.15311690244596e-13
190,-1.0272297715858917e-12
200,-8.813442564170284e-13
210,-9.552499099317829e-13
220,-8.061321519579169e-13
230,-7.517098822595801e-13
240,-7.981111026791172e-13
250,-7.017987558941788e-13
260,-7.9787141616018e-13
270,-7.542778704413306e-13
280,-5.97811936916439e-13
290,-5.998746947626413e-13
300,-6.305101406621061e-13
310,-1.30191904324951e-12
320,-1.2831003478456813e-12
330,-1.0136106185100727e-12
340,-1.0772340046139467e-12
350,-9.936706028032926e-13
360,-8.709126481079462e-13
370,-5.754097666217421e-13
380,-5.858443018996182e-13
390,-3.4455523648965045e-13
400,-3.2132936831373376e-13
410,-3.5257633205164525e-13
420,-5.6155077230682916e-14
430,3.951328425486241e-14
440,-1.5405267209715782e-14
450,1.8507311441009026e-13
460,3.503884611433186e-13
470,5.884515863601028e-13
480,8.57528296797902e-13
490,8.017156379723854e-13
500,7.68785367892417e-13
510,7.311714085130265e-13
520,8.179750973700042e-13
530,7.753228776763954e-13
540,9.409745016801623e-13
550,8.046912623032009e-13
560,6.173386875471525e-13
570,2.0160258059341614e-13
580,-3.373371215057791e-14
590,-4.6780326270365057e-14
600,1.552992162619725e-14
610,1.8608172533069931e-13
620,2.388058135867727e-13
630,3.046724059595418e-13
640,4.30566751713693e-13
650,4.831350690975028e-13
660,6.763059673974305e-13
670,8.323266739778551e-13
680,9.66740527311072e-13
690,9.92104537380382e-13
700,7.196232373121728e-13
710,8.386813210942906e-13
720,7.667208005780646e-13
730,6.056861818578153e-13
740,7.493529857724333e-13
750,9.007940658483386e-13
760,1.0944210621568878e-12
770,8.024086631324307e-13
780,3.62331839918562e-13
790,1.0406146102700436e-13
800,6.592141932632919e-14
810,-2.497660703149818e-13
820,-4.0429725043564856e-13
830,-5.655827484487427e-13
840,-5.346899849036015e-13
850,-8.952498944098222e-13
860,-1.1955215603611038e-12
870,-1.399719381183254e-12
880,-1.4771129305709066e-12
890,-1.6533113643669268e-12
900,-1.9361148333988594e-12
910,-1.8937842007022606e-12
920,-1.7561135403782292e-12
930,-1.6849097591945322e-12
940,-1.6864687064509112e-12
950,-1.645700965843078e-12
960,-1.436195282568962e-12
970,-1.2253211365013322e-12
980,-6.236362649227729e-13
990,-3.0423570523895363e-13
1000,-2.938309907657581e-13
1010,-2.124402349650237e-13
1020,1.0978714626945658e-13
1030,2.068383671708356e-13
1040,4.954080280800616e-13
1050,4.1950403562345216e-13
1060,5.991813518303988e-13
1070,7.91006520512555e-13
1080,1.0402664809997691e-12
1090,1.3163922948656802e-12
1100,1.840370775955284e-12
1110,2.091826149594185e-12
1120,2.327632960852665e-12
1130,2.41382938334752e-12
1140,2.3426173460616813e-12
1150,2.1139709253917466e-12
1160,1.7175336523244926e-12
1170,1.534216354230545e-12
1180,1.7309850654249903e-12
