frame_no,relative_translation,net_relative_translation
10,-5.462450642337027e-13,-5.462450642337027e-13
20,-1.6422566185405022e-13,-7.104707260877529e-13
30,-1.8462405496915585e-13,-8.950947810569088e-13
40,-2.5247602017317664e-13,-1.1475708012300854e-12
50,-1.6448562105082686e-13,-1.3120564222809122e-12
60,-1.693544979608396e-13,-1.4814109202417517e-12
70,7.202146480872289e-13,-7.611962721545228e-13
80,9.975748605731911e-13,2.363785884186683e-13
90,1.030926693835651e-12,1.2673052822543193e-12
100,-2.9315462934155313e-13,9.74150652912766e-13
110,5.08201870121424e-13,1.4823525230341902e-12
120,1.2716752120687757e-12,2.754027735102966e-12
130,1.1449589542852368e-12,3.898986689388202e-12
140,5.984028844183732e-13,4.497389573806576e-12
150,3.6532207365226084e-13,4.862711647458836e-12
160,-1.234592702998444e-13,4.739252377158992e-12
170,-8.575315283406698e-13,3.881720848818322e-12
180,-8.525594434223433e-13,3.0291614053959786e-12
190,-6.758270292956019e-13,2.3533343761003765e-12
200,-5.002608145681262e-13,1.8530735615322503e-12
210,2.036241445216483e-13,2.056697706053899e-12
220,1.387452231036259e-13,2.1954429291575247e-12
230,-1.0392767504971542e-13,2.0915152541078093e-12
240,9.600736658999139e-14,2.1875226206978008e-12
250,-3.216299343679401e-14,2.155359627261007e-12
260,3.943025401109527e-13,2.5496621673719596e-12
270,-2.3048000917218343e-13,2.3191821581997762e-12
280,3.717010638194704e-13,2.6908832220192468e-12
290,-3.6034543411630675e-13,2.33053778790294e-12
300,5.224720256811739e-13,2.853009813584114e-12
310,-3.874587870808044e-13,2.4655510265033094e-12
320,-3.180430112240816e-13,2.147508015279228e-12
330,3.13319147579962e-16,2.147821334426808e-12
340,8.588667674426971e-13,3.006688101869505e-12
350,8.702957836073569e-13,3.876983885476862e-12
360,4.799414953963194e-13,4.356925380873182e-12
370,-8.401239114549358e-14,4.272912989727688e-12
380,-3.5910804227663533e-13,3.913804947451053e-12
390,-8.658837275767937e-13,3.047921219874259e-12
400,2.7342994744059534e-13,3.3213511673148544e-12
410,-1.3882166290924026e-12,1.933134538222452e-12
420,-1.4291146030187684e-12,5.040199352036835e-13
430,-2.337617667495072e-12,-1.8335977322913888e-12
440,-7.856147427294917e-13,-2.6192124750208806e-12
450,-1.1438633190684646e-12,-3.7630757940893455e-12
460,4.272276077195821e-13,-3.3358481863697634e-12
470,-2.0378125561670354e-12,-5.3736607425367984e-12
480,-2.6826931000440834e-13,-5.641930052541207e-12
490,-1.8743916469101417e-12,-7.516321699451348e-12
500,4.816804872897889e-13,-7.0346412121615594e-12
510,-1.1567433004178274e-12,-8.191384512579387e-12
520,-1.3429045466285333e-12,-9.53428905920792e-12
530,-1.9749667340925843e-12,-1.1509255793300504e-11
540,-1.6343280699446862e-12,-1.314358386324519e-11
550,-1.429800422093566e-12,-1.4573384285338757e-11
560,-1.184138029487063e-12,-1.575752231482582e-11
570,-5.967845597151977e-13,-1.6354306874541018e-11
580,-5.442086096207604e-13,-1.689851548416178e-11
590,1.4789479489561408e-13,-1.6750620689266165e-11
600,-7.253872484219252e-13,-1.747600793768809e-11
610,-4.3587942538567546e-13,-1.7911887363073766e-11
620,-4.623538580788862e-13,-1.8374241221152652e-11
630,2.8990534480604495e-13,-1.8084335876346608e-11
640,1.462093416078947e-13,-1.7938126534738712e-11
650,2.8933703589636575e-13,-1.7648789498842345e-11
660,-6.622761498487395e-13,-1.8311065648691086e-11
670,-1.1599692053204797e-12,-1.9471034854011567e-11
680,-1.0072930397320075e-12,-2.0478327893743575e-11
690,-1.4696560622927436e-13,-2.062529349997285e-11
700,-2.701840055932242e-13,-2.0895477505566073e-11
710,-3.4305037657691003e-13,-2.1238527882142982e-11
720,-4.5749994603824e-13,-2.1696027828181224e-11
730,4.441976186887563e-13,-2.1251830209492467e-11
740,-3.6009331581572625e-13,-2.1611923525308194e-11
750,-2.1659325622443924e-13,-2.1828516781532634e-11
760,-8.576685863526936e-13,-2.268618536788533e-11
770,-5.930238349946115e-13,-2.327920920287994e-11
780,-5.898815790324966e-13,-2.3869090781912438e-11
790,3.4610121202994594e-13,-2.3522989569882493e-11
800,2.0002067493719544e-14,-2.3502987502388774e-11
810,-3.3349673476461184e-13,-2.3836484237153384e-11
820,1.0871165396264268e-12,-2.274936769752696e-11
830,1.0773024814279215e-12,-2.1672065216099036e-11
840,-1.0044651279043485e-13,-2.1772511728889472e-11
850,1.028097567166538e-12,-2.0744414161722934e-11
860,1.4387277079730002e-12,-1.9305686453749935e-11
870,-1.35430023616917e-12,-2.0659986689919103e-11
880,-4.833764985400824e-13,-2.1143363188459186e-11
890,7.626854649898352e-13,-2.0380677723469352e-11
900,6.812458798580148e-13,-1.9699431843611336e-11
910,-7.330587554252026e-13,-2.043249059903654e-11
920,-4.915964711125492e-13,-2.092408707014909e-11
930,2.332307030631391e-13,-2.069085636708595e-11
940,-1.2485861663007043e-13,-2.081571498371602e-11
950,-2.4458618316484435e-13,-2.1060301166880863e-11
960,-2.0124299508635806e-13,-2.126154416196722e-11
970,5.660646059223743e-13,-2.0695479556044845e-11
980,6.460767524439803e-13,-2.0049402803600865e-11
990,2.2495072882009504e-13,-1.982445207478077e-11
1000,-8.598384024500007e-13,-2.068429047723077e-11
1010,-8.120281320541594e-13,-2.149631860928493e-11
1020,-5.808471674372564e-13,-2.2077165776722186e-11
1030,4.0453431694834626e-13,-2.167263145977384e-11
1040,-4.113405662101529e-13,-2.2083972025983994e-11
1050,-4.591928740157437e-13,-2.2543164899999737e-11
1060,1.9058511483597482e-13,-2.235257978516376e-11
1070,-3.1430622454214517e-13,-2.2666886009705908e-11
1080,-5.499992579261828e-13,-2.321688526763209e-11
1090,-1.8960488446564111e-13,-2.340649015209773e-11
1100,8.512769650299501e-13,-2.255521318706778e-11
1110,1.0545280184338155e-12,-2.1500685168633965e-11
1120,-1.0448942636113626e-13,-2.1605174594995102e-11
1130,-6.818337886631213e-14,-2.1673357973861413e-11
1140,-3.044703044488648e-14,-2.1703805004306298e-11
1150,6.698544504235534e-13,-2.1033950553882745e-11
1160,8.510038215606489e-13,-2.0182946732322095e-11
1170,1.4203687797733415e-12,-1.8762577952548755e-11
1180,-1.3977109045773229e-12,-2.016028885712608e-11
1190,-5.772451740301875e-13,-2.0737534031156267e-11
1200,1.6002412741745432e-12,-1.9137292756981725e-11
1210,1.696130936959347e-12,-1.7441161820022377e-11
1220,4.967135363413374e-13,-1.694444828368104e-11
1230,1.2961803490659098e-12,-1.5648267934615128e-11
1240,2.035557714896726e-12,-1.3612710219718402e-11
1250,1.8822613193332175e-12,-1.1730448900385184e-11
1260,1.5535628931233939e-12,-1.0176886007261789e-11
1270,-6.442330457333744e-13,-1.0821119052995164e-11
1280,1.7682459284844389e-12,-9.052873124510725e-12
1290,1.7273464232957873e-12,-7.325526701214938e-12
1300,1.451082128586145e-12,-5.874444572628792e-12
1310,3.046916659361272e-13,-5.569752906692665e-12
1320,-1.429587319191933e-12,-6.999340225884598e-12
1330,1.153869230060213e-12,-5.845470995824385e-12
1340,1.4965914208470975e-12,-4.348879574977287e-12
1350,1.6541113448775884e-12,-2.694768230099699e-12
1360,1.2495693467335556e-12,-1.4451988833661434e-12
1370,-3.9515313350435235e-13,-1.840352016870496e-12
1380,2.8986495030349995e-14,-1.8113655218401459e-12
1390,7.482837506052713e-13,-1.0630817712348746e-12
1400,1.4073697676636216e-12,3.4428799642874706e-13
1410,5.674962039133297e-13,9.117842003420767e-13
1420,9.57339067919081e-13,1.8691232682611578e-12
1430,1.481053740238681e-12,3.3501770084998386e-12
1440,1.4932609388488862e-12,4.843437947348725e-12
1450,-7.181484609968763e-13,4.125289486351849e-12
1460,-4.673782921440876e-13,3.657911194207761e-12
1470,7.851271797511221e-13,4.443038373958883e-12
1480,1.151722364486065e-12,5.594760738444948e-12
1490,9.78980824698674e-13,6.5737415631436216e-12
1500,3.532730116432401e-13,6.9270145747868614e-12
1510,9.492334717770919e-13,7.876248046563953e-12
1520,4.975432681580092e-13,8.373791314721962e-12
1530,8.62774678630071e-13,9.236565993352034e-12
1540,3.160786907661962e-13,9.55264468411823e-12
1550,7.041501769538371e-13,1.0256794861072066e-11
1560,1.0548006528064615e-12,1.1311595513878528e-11
1570,7.732224080458408e-13,1.2084817921924368e-11
1580,8.771579047639105e-13,1.296197582668828e-11
1590,3.540358011820352e-13,1.3316011627870315e-11
1600,4.699474410145617e-13,1.3785959068884876e-11
1610,8.573684060378884e-13,1.4643327474922765e-11
1620,8.076552198435062e-13,1.545098269476627e-11
1630,9.311387745117123e-13,1.638212146927798e-11
1640,1.0838539398559004e-13,1.6490506863263573e-11
1650,5.808051850200585e-13,1.707131204828363e-11
1660,1.0214909912933498e-12,1.809280303957698e-11
1670,1.0308928891410857e-12,1.9123695928718068e-11
1680,-5.5697688411296897e-14,1.9067998240306773e-11
1690,8.20865825765473e-13,1.9888864066072246e-11
1700,8.949213170356636e-13,2.0783785383107908e-11
1710,1.4113300726968786e-12,2.2195115455804786e-11
1720,8.882113222959823e-13,2.308332677810077e-11
1730,7.569916045006866e-13,2.3840318382601456e-11
1740,-8.616041545871124e-13,2.2978714228014344e-11
1750,-6.177990763996423e-14,2.291693432037438e-11
1760,3.780848658570365e-13,2.3295019186231417e-11
1770,4.346808742587836e-13,2.37297000604902e-11
1780,3.070381348056101e-13,2.403673819529581e-11
1790,9.967111967715412e-14,2.4136409314972966e-11
1800,6.779945282690326e-13,2.4814403843242e-11
1810,5.659060112529837e-13,2.5380309854494983e-11
1820,5.387544982147944e-13,2.5919064352709776e-11
1830,4.752952017171642e-13,2.639435955442694e-11
1840,-6.285579706317679e-13,2.5765801583795175e-11
1850,7.501375612128381e-13,2.6515939145008013e-11
1860,-1.0730029308886088e-12,2.5442936214119404e-11
1870,-9.691528777857577e-13,2.4473783336333647e-11
1880,-6.684447397845624e-13,2.3805338596549084e-11
1890,-9.68416025690375e-13,2.2836922570858708e-11
1900,-1.5151115817210942e-12,2.1321810989137615e-11
1910,-1.5160409867903782e-12,1.9805770002347236e-11
1920,-1.417509672210248e-12,1.838826033013699e-11
1930,-9.669693405455145e-13,1.7421290989591475e-11
1940,2.5276130383588254e-13,1.7674052293427357e-11
1950,7.66928032243076e-13,1.8440980325670433e-11
1960,9.74446808852329e-13,1.941542713452276e-11
1970,8.692379851570522e-13,2.028466511967981e-11
1980,6.8591002379947e-13,2.097057514347928e-11
1990,2.0745340592966495e-13,2.1178028549408946e-11
2000,-2.0856150309461132e-12,1.9092413518462832e-11
2010,-1.5500232138775198e-12,1.7542390304585313e-11
2020,-1.6483544875472177e-12,1.5894035817038095e-11
2030,-1.0771328720501333e-12,1.4816902944987962e-11
2040,-1.6642272270673044e-12,1.3152675717920658e-11
2050,-9.312201790469345e-13,1.2221455538873722e-11
2060,-1.1249204026435855e-12,1.1096535136230137e-11
2070,-6.681021135931154e-13,1.0428433022637022e-11
2080,-4.393978541370246e-13,9.989035168499997e-12
2090,-1.1316048680105841e-13,9.875874681698938e-12
2100,-3.6572889468532535e-13,9.510145787013613e-12
2110,-1.0785883972523306e-12,8.431557389761282e-12
