frame_no,relative_translation,net_relative_translation
10,7.020923114432838e-13,7.020923114432838e-13
20,8.633274078070452e-13,1.565419719250329e-12
30,-9.635645514469424e-13,6.018551678033866e-13
40,1.2456527907036335e-13,7.264204468737499e-13
50,7.26820271625288e-13,1.453240718499038e-12
60,-9.771619939489006e-14,1.3555245191041479e-12
70,5.280655199247957e-13,1.8835900390289437e-12
80,6.142180252505951e-13,2.497808064279539e-12
90,5.169850878906828e-13,3.0147931521702216e-12
100,6.459944511639543e-13,3.660787603334176e-12
110,5.761828670687646e-13,4.23697047040294e-12
120,8.119321343784139e-13,5.048902604781354e-12
130,3.3245562283430385e-14,5.082148167064784e-12
140,7.108477396130221e-13,5.792995906677806e-12
150,5.739768033192884e-13,6.366972709997094e-12
160,2.7854977852952467e-13,6.645522488526619e-12
170,3.2183712100797717e-13,6.967359609534596e-12
180,2.8396116731201835e-13,7.251320776846614e-12
190,1.3208894461840478e-13,7.383409721465019e-12
200,2.0795905629658032e-13,7.5913687777616e-12
210,4.177190309754062e-13,8.009087808737006e-12
220,7.008902821690503e-13,8.709978090906057e-12
230,-4.154326097449561e-13,8.294545481161102e-12
240,3.6829186596680967e-13,8.662837347127911e-12
250,8.972375758118775e-14,8.7525611047091e-12
260,-5.039911446342051e-13,8.248569960074894e-12
270,-5.846749715821598e-13,7.663894988492734e-12
280,6.662370281214927e-14,7.730518691304884e-12
290,4.5417816937320107e-13,8.184696860678084e-12
300,3.939182814821105e-13,8.578615142160195e-12
310,-3.174603530473189e-13,8.261154789112877e-12
320,-7.828899386709339e-13,7.478264850441944e-12
330,-4.402840645643777e-13,7.0379807858775655e-12
340,-6.374716620486782e-13,6.400509123828888e-12
350,6.707131067112549e-13,7.071222230540142e-12
360,7.530709393443391e-13,7.824293169884482e-12
370,-1.126366809394565e-12,6.697926360489917e-12
380,-1.0638063647878475e-12,5.634119995702069e-12
390,-1.8053053671061468e-13,5.4535894589914545e-12
400,1.2576974257591663e-12,6.711286884750621e-12
410,9.03012361510453e-13,7.614299246261075e-12
420,-7.10693258932708e-13,6.903605987328366e-12
430,1.4998998339988496e-13,7.053595970728251e-12
440,-1.9535451128386443e-12,5.100050857889607e-12
450,-1.672810465647832e-12,3.4272403922417746e-12
460,9.406167005291078e-13,4.367857092770882e-12
470,9.436774024946883e-15,4.377293866795829e-12
480,-1.2189902460506544e-12,3.158303620745175e-12
