frame_no,translation,net_relative_translation
10,7.020923114432837e-13,7.020923114432837e-13
20,8.633274078070452e-13,1.5654197192503288e-12
30,-9.635645514469424e-13,6.018551678033864e-13
40,1.2456527907036335e-13,7.264204468737497e-13
50,7.26820271625288e-13,1.4532407184990377e-12
60,-9.771619939489007e-14,1.3555245191041477e-12
70,5.280655199247957e-13,1.8835900390289433e-12
80,6.142180252505951e-13,2.4978080642795385e-12
90,5.169850878906828e-13,3.014793152170221e-12
100,6.459944511639544e-13,3.660787603334175e-12
110,5.761828670687646e-13,4.23697047040294e-12
120,8.119321343784139e-13,5.048902604781354e-12
130,3.3245562283430385e-14,5.082148167064784e-12
140,7.108477396130221e-13,5.792995906677806e-12
150,5.739768033192884e-13,6.366972709997094e-12
160,2.785497785295247e-13,6.645522488526619e-12
170,3.2183712100797717e-13,6.967359609534596e-12
180,2.8396116731201835e-13,7.251320776846614e-12
190,1.3208894461840478e-13,7.383409721465019e-12
200,2.0795905629658032e-13,7.5913687777616e-12
210,4.177190309754062e-13,8.009087808737006e-12
220,7.008902821690503e-13,8.709978090906057e-12
230,-4.1543260974495614e-13,8.2945454811611e-12
240,3.682918659668097e-13,8.66283734712791e-12
250,8.972375758118775e-14,8.752561104709098e-12
260,-5.039911446342051e-13,8.248569960074892e-12
270,-5.846749715821598e-13,7.663894988492732e-12
280,6.662370281214928e-14,7.730518691304882e-12
290,4.5417816937320097e-13,8.184696860678082e-12
300,3.9391828148211046e-13,8.578615142160193e-12
310,-3.174603530473189e-13,8.261154789112875e-12
320,-7.828899386709339e-13,7.478264850441942e-12
330,-4.402840645643777e-13,7.037980785877564e-12
340,-6.374716620486782e-13,6.400509123828886e-12
350,6.707131067112548e-13,7.071222230540141e-12
360,7.530709393443391e-13,7.82429316988448e-12
370,-1.126366809394565e-12,6.697926360489915e-12
380,-1.0638063647878477e-12,5.6341199957020675e-12
390,-1.8053053671061468e-13,5.453589458991453e-12
400,1.2576974257591665e-12,6.711286884750619e-12
410,9.03012361510453e-13,7.614299246261073e-12
420,-7.10693258932708e-13,6.9036059873283645e-12
430,1.4998998339988496e-13,7.053595970728249e-12
440,-1.9535451128386443e-12,5.100050857889605e-12
450,-1.6728104656478317e-12,3.4272403922417733e-12
460,9.406167005291078e-13,4.3678570927708816e-12
470,9.436774024946884e-15,4.3772938667958284e-12
480,-1.2189902460506542e-12,3.1583036207451744e-12
490,-1.1760568199361585e-12,1.982246800809016e-12
500,-5.0856331186813914e-14,1.931390469622202e-12
510,6.756619912461255e-14,1.9989566687468146e-12
520,-1.4168464318567456e-12,5.82110236890069e-13
530,-1.6187817283353949e-12,-1.0366714914453259e-12
540,-1.684425773137304e-12,-2.72109726458263e-12
550,-1.915143456740282e-12,-4.6362407213229124e-12
560,-1.92265783723387e-12,-6.558898558556783e-12
570,-1.1149562739541717e-12,-7.673854832510954e-12
580,-1.0869430341409085e-12,-8.760797866651862e-12
590,-2.6623993967235127e-12,-1.1423197263375375e-11
600,-2.8394674792351982e-12,-1.4262664742610572e-11
610,2.574548106934434e-12,-1.1688116635676139e-11
620,-1.60993250598001e-12,-1.3298049141656149e-11
630,-1.1028831070583938e-12,-1.4400932248714542e-11
640,2.072532184186766e-12,-1.2328400064527776e-11
650,2.3830726263830312e-12,-9.945327438144745e-12
660,-2.0283940523343997e-12,-1.1973721490479144e-11
670,3.731606177426167e-13,-1.1600560872736527e-11
680,-4.696088786631112e-13,-1.2070169751399639e-11
690,-1.8546735304093147e-12,-1.3924843281808954e-11
700,-1.3295226047378602e-12,-1.5254365886546814e-11
710,-2.0225107458302225e-13,-1.5456616961129836e-11
720,-1.1444427762973535e-12,-1.660105973742719e-11
730,-9.348663998931695e-13,-1.753592613732036e-11
740,-2.575431232866617e-13,-1.779346926060702e-11
750,1.0797762051976127e-12,-1.6713693055409406e-11
760,5.476915338045866e-13,-1.616600152160482e-11
770,1.1054032748108058e-12,-1.5060598246794015e-11
780,1.264742707551751e-12,-1.3795855539242265e-11
790,1.3096119312824856e-12,-1.2486243607959778e-11
800,8.309815819427406e-13,-1.1655262026017037e-11
810,-8.821533561612114e-13,-1.2537415382178249e-11
820,-8.187726429309182e-13,-1.3356188025109167e-11
830,-7.2010478104919e-13,-1.4076292806158357e-11
840,3.759149542158313e-14,-1.4038701310736774e-11
850,-4.3105166659270935e-13,-1.4469752977329484e-11
860,-7.999261986315262e-13,-1.5269679175961012e-11
870,-8.660472163188992e-13,-1.613572639227991e-11
880,-8.157975887028359e-13,-1.6951523980982747e-11
890,-3.0261362333885874e-13,-1.7254137604321608e-11
900,-1.1506108761015364e-12,-1.8404748480423143e-11
910,-1.3300302890129557e-12,-1.9734778769436098e-11
920,-1.0599231155909316e-12,-2.079470188502703e-11
930,-1.091658957892807e-12,-2.1886360842919837e-11
940,-1.156865950574069e-12,-2.3043226793493905e-11
950,-1.0973940099225512e-12,-2.4140620803416456e-11
960,-2.6220799188421613e-13,-2.4402828795300673e-11
970,-9.285929667959135e-13,-2.5331421762096586e-11
980,3.633720846649433e-13,-2.496804967743164e-11
990,-1.2778034255670178e-12,-2.624585310299866e-11
1000,-9.363471189449552e-13,-2.7182200221943616e-11
1010,-9.247661086160654e-13,-2.810696633055968e-11
1020,-7.634259386489804e-13,-2.887039226920866e-11
1030,-9.4621279246045e-13,-2.981660506166911e-11
1040,-1.0567275342108497e-12,-3.087333259587996e-11
1050,-5.724488210625568e-14,-3.0930577477986214e-11
1060,4.801663685007888e-13,-3.0450411109485426e-11
1070,-3.6628503594437453e-13,-3.08166961454298e-11
1080,-8.579894763292745e-13,-3.167468562175907e-11
1090,-1.343700632000944e-12,-3.301838625376002e-11
1100,-1.3540921862834132e-12,-3.437247844004343e-11
1110,-1.4801685200147051e-12,-3.585264696005813e-11
1120,-1.0529129391018735e-12,-3.690555989916e-11
1130,-1.306866868327391e-12,-3.8212426767487396e-11
1140,-1.6204486441104517e-12,-3.9832875411597846e-11
1150,-2.0249426912790457e-12,-4.185781810287689e-11
1160,-2.3416398642024633e-12,-4.419945796707935e-11
1170,-2.270495513494747e-12,-4.64699534805741e-11
1180,-2.329969792402808e-12,-4.879992327297691e-11
1190,-1.9571029118083024e-12,-5.075702618478521e-11
1200,-1.2252907196711057e-12,-5.198231690445632e-11
1210,-1.6345940896505544e-12,-5.361691099410687e-11
1220,-1.5923391112526754e-12,-5.520925010535955e-11
1230,-2.2686810117391253e-12,-5.747793111709867e-11
1240,-2.1864188638468997e-12,-5.966434998094557e-11
