frame_no,translation
19209,-2.176028266514862e-14
19219,-2.0829494402392125e-13
19229,-2.9465454768116693e-13
19239,-4.798038895866977e-13
19249,-7.520844872873661e-13
19259,-7.610471811014988e-13
19269,-6.220922831179335e-13
19279,-6.129520977196449e-13
19289,-9.216696135930701e-13
19299,-1.1371069370531914e-12
19309,-1.3967747297457097e-12
19319,-1.2803045488835702e-12
19329,-1.1623383189118436e-12
19339,-9.65198276738137e-13
19349,-9.105613043060038e-13
19359,-1.159257565452212e-12
19369,-1.771319242043969e-12
19379,-2.1147438746178237e-12
19389,-2.2187354026211763e-12
19399,-2.2108709572037253e-12
19409,-2.2006826956128277e-12
19419,-1.81965400106963e-12
19429,-1.9828337914565455e-12
19439,-2.079112495981452e-12
19449,-2.029701850038831e-12
19459,-1.787248554267744e-12
19469,-1.3652360093716906e-12
19479,-8.320486682999327e-13
19489,-6.13082369760468e-13
19499,-6.273758759845824e-13
19509,-6.391091158866549e-13
19519,-6.169575517142891e-13
19529,-6.451838481957109e-13
19539,-4.948938285300883e-13
19549,-2.3457183930770834e-13
19559,8.57036693249364e-14
19569,1.396702897547469e-13
19579,9.57580399225751e-14
19589,2.136649306486373e-13
19599,8.460087995530186e-14
19609,7.682363016420352e-14
19619,4.73246561622066e-13
19629,5.674164501656879e-13
19639,7.686456467494398e-13
19649,6.998465801519327e-13
19659,5.077142677256949e-13
19669,6.325446115249896e-13
19679,3.490815873183792e-13
19689,2.5669262126904586e-13
19699,3.612164782616147e-13
19709,3.2217765549228984e-13
19719,5.796408908164793e-13
19729,6.836845379275376e-13
19739,7.249649965131695e-13
19749,6.970076447888429e-13
19759,5.426503041140534e-13
19769,2.679098186860367e-13
19779,1.1409987721220248e-13
19789,6.501338207006049e-14
19799,1.0432576340634307e-13
19809,3.067550387132048e-13
19819,5.779673249834712e-13
19829,6.562330023019944e-13
19839,9.259097711590853e-13
19849,1.0762821577976288e-12
19859,1.0550225228769631e-12
19869,9.485370187295976e-13
19879,4.888587363560783e-13
19889,3.977673719015182e-13
19899,4.872514781748997e-13
19909,3.9994165277537216e-13
19919,6.709088131196463e-13
19929,7.173840767934677e-13
19939,6.217451941617616e-13
19949,7.538762565148033e-13
19959,7.163201468000513e-13
19969,6.840526367415847e-13
19979,4.798363966740305e-13
19989,1.755970894952155e-13
19999,1.7556442718363993e-13
20009,-1.4259054106052454e-13
20019,-4.675677686061581e-13
20029,-7.654760039085098e-13
20039,-9.86407292563698e-13
20049,-1.1270862526936935e-12
20059,-1.059812681806463e-12
20069,-9.108938818672538e-13
20079,-7.405129395097451e-13
20089,-7.236883159131517e-13
20099,-9.675104196434724e-13
20109,-1.1377299006820647e-12
20119,-1.282096576262463e-12
20129,-1.1799165475528475e-12
20139,-1.215929940611589e-12
20149,-1.0805146754856726e-12
20159,-1.2402949014580987e-12
20169,-1.3189231181640372e-12
20179,-1.3669717811244551e-12
20189,-1.3822859497478198e-12
20199,-1.2646897374095103e-12
20209,-9.67766893307609e-13
20219,-1.0094954404712799e-12
20229,-8.910000111711292e-13
20239,-5.158839603536863e-13
20249,-5.641859585920803e-13
20259,-3.6300902556380025e-13
20269,-1.4118948004869286e-13
20279,9.33161419630911e-14
20289,2.3995901123688355e-13
20299,3.178479994142478e-13
20309,5.504283662400967e-13
20319,9.185324397417377e-13
20329,1.2087529447516694e-12
20339,1.4697158714208957e-12
20349,1.5795603150885468e-12
20359,1.288164620835131e-12
20369,1.0459434452840047e-12
20379,9.212935970533252e-13
20389,9.263830367526188e-13
20399,8.976817931102541e-13
20409,9.111753730526859e-13
20419,9.489820427993512e-13
20429,8.691885850571122e-13
20439,6.260837878066066e-13
20449,2.1945110058918326e-13
20459,2.2151000602484512e-13
20469,2.3044596978079966e-13
20479,2.517128865285348e-13
20489,1.0569133070338891e-13
20499,2.3277364056917445e-13
20509,2.850970892721641e-13
20519,4.33591840009932e-13
20529,3.3271231738184314e-13
20539,3.113287997252416e-13
20549,6.935344261391928e-13
20559,5.292899179185363e-13
20569,4.3463755418153275e-13
20579,4.999918609460151e-14
20589,5.219113534593056e-14
20599,7.642254390430013e-14
20609,3.173972050044602e-13
20619,1.9907679974623609e-13
20629,1.652515952079022e-13
20639,2.0891147633999332e-13
20649,1.377719135305179e-13
20659,-2.0158909383376732e-14
20669,-3.148128150989861e-13
20679,-5.353305193094821e-13
20689,-4.4902158930845375e-13
20699,-2.740353886794953e-13
20709,-4.620846763521929e-13
20719,-3.872589433174623e-13
20729,-2.7913409702958724e-13
20739,-6.283714285577962e-14
20749,-6.1454395167942886e-15
20759,9.809371994278037e-14
20769,7.868321111022354e-15
20779,7.047929153171871e-14
20789,-4.647957130277724e-14
20799,2.465305779067535e-13
20809,1.8820657683099945e-13
20819,-1.0748355166997087e-13
20829,1.6017197358675992e-13
20839,1.6798009440136223e-13
20849,3.1362694748777564e-13
20859,3.390578274027123e-14
20869,-2.777105132412371e-13
20879,-4.707774950635059e-13
20889,-4.656014815990547e-13
20899,-3.9512706387999487e-13
20909,-3.898613576249838e-13
20919,-4.2692791253338756e-13
20929,-1.8177339519390604e-13
20939,-2.2065547939271942e-14
20949,8.129405609653419e-14
20959,1.383442692173546e-13
20969,3.405871677512887e-13
20979,1.4786155710596737e-13
20989,2.8529255594227346e-13
20999,3.257878893061152e-13
21009,3.3375326249982676e-13
21019,2.37103062663422e-13
21029,5.846712496179635e-14
21039,-1.3029288062739264e-13
21049,-1.387583204778936e-13
21059,3.2301818699331875e-14
21069,9.930997606489999e-14
21079,5.043659923684045e-13
21089,4.874550678036288e-13
21099,5.203197080835623e-13
21109,3.0919769558704487e-13
21119,-1.8568509840883498e-13
21129,-2.1058675656734893e-13
21139,-3.3346677281807617e-13
21149,-6.207269197480706e-13
21159,-9.41535147112281e-13
21169,-1.178014432599928e-12
21179,-1.079719321570788e-12
21189,-1.2118825026665142e-12
21199,-1.334874264737868e-12
21209,-1.4504338215645102e-12
21219,-1.4052700227043213e-12
21229,-1.6651499280167148e-12
21239,-1.7029489586900012e-12
21249,-1.7304953984322568e-12
21259,-1.7991723155233787e-12
21269,-1.3921930244187143e-12
21279,-9.623238095552274e-13
21289,-1.0860847238330675e-12
21299,-1.305835226583066e-12
21309,-1.1406353354841413e-12
21319,-8.457875419119826e-13
21329,-8.727456240438335e-13
21339,-7.724074789876246e-13
21349,-2.502025371031812e-13
21359,-1.4724658654517634e-14
21369,-9.688012936602735e-14
21379,-1.804572902707889e-13
21389,-3.757599279906858e-14
21399,2.2634463167148335e-13
21409,2.368765827301072e-13
21419,2.406822943312836e-13
21429,2.1929157276632635e-13
21439,2.579625934486703e-13
21449,3.6240860391935225e-13
21459,1.606248156590762e-13
21469,3.9640063201290727e-13
21479,5.028690548223473e-13
21489,2.1954663995460963e-13
21499,-8.500458376990094e-14
21509,-2.7099288308517273e-13
21519,-4.125363848063593e-13
21529,-5.085817900970339e-13
21539,-6.218238190279751e-13
21549,-5.385619482772825e-13
21559,-4.951959671911529e-13
21569,-4.371544451680158e-13
21579,-5.774587311850866e-13
21589,-6.578860735481891e-13
21599,-6.597288240979634e-13
21609,-6.61397224108081e-13
21619,-9.084266421129635e-13
21629,-1.1521904165880338e-12
21639,-1.1791481476808873e-12
21649,-1.1486124558681928e-12
21659,-1.0289972961068894e-12
21669,-1.0906059882978262e-12
21679,-1.0433508190948005e-12
21689,-1.238384403959785e-12
21699,-1.1614869994196688e-12
21709,-8.613964473686039e-13
21719,-6.752652673574953e-13
21729,-4.1981079538016585e-13
21739,-3.9254137131154444e-13
21749,-4.0692237929522874e-13
21759,-3.9587116352161246e-13
21769,-6.073500133525776e-13
21779,-5.047321283209188e-13
21789,-7.326941405746121e-13
21799,-9.672249805058832e-13
21809,-1.1933196142488858e-12
21819,-1.358991807336088e-12
21829,-1.338349904286054e-12
21839,-1.544383867662137e-12
21849,-1.970987996830686e-12
21859,-2.2696955408361743e-12
21869,-2.171431557477373e-12
21879,-2.1768524669581208e-12
21889,-2.4093177741452534e-12
21899,-2.6737428303909924e-12
21909,-2.691657055980184e-12
21919,-2.854452460241329e-12
21929,-2.9225791739647748e-12
21939,-2.957963908958354e-12
21949,-2.5528627461680382e-12
21959,-2.3321132920460374e-12
21969,-2.0650269296743564e-12
21979,-2.054070690579991e-12
21989,-2.15399634246601e-12
21999,-2.2176922771428155e-12
22009,-2.4069684962403697e-12
22019,-1.9228310188621336e-12
22029,-1.766792711103045e-12
22039,-1.7330302999431565e-12
22049,-1.3853785408998822e-12
22059,-1.0190314757467547e-12
22069,-5.55616831645485e-13
22079,-5.582912026648828e-13
22089,-2.706404527052957e-13
22099,-1.6731899236394212e-14
22109,-1.529519712803684e-13
22119,-2.2235402860244291e-13
22129,-2.338666068853398e-13
22139,3.95639536930526e-15
22149,6.54662000149516e-15
22159,2.527165314995384e-13
22169,2.8762596163351887e-13
22179,5.173614823905849e-13
22189,4.814122244508788e-13
22199,4.765865960641616e-13
22209,5.398150131523276e-13
22219,3.2546974031740865e-13
22229,1.0305788749377788e-13
22239,1.4585772023427296e-13
22249,-1.7525205802542703e-13
22259,-6.787753187761065e-13
22269,-5.65650162484161e-13
22279,-8.202473374850422e-13
22289,-1.0210330965517305e-12
22299,-8.111390257941218e-13
22309,-4.294763076519357e-13
22319,-5.516438272243837e-13
22329,-5.861686670245559e-13
22339,-3.374383005257089e-13
22349,-1.2314781865217265e-13
22359,-2.721816021418455e-13
22369,-2.483193615038368e-13
22379,-6.449144604896452e-14
22389,-1.4932743178158326e-13
22399,8.566084925561525e-14
22409,3.0363974065726394e-13
22419,2.937969454992813e-13
22429,2.1712387644189541e-13
22439,3.023245320773818e-13
22449,2.479497413703586e-13
22459,2.8663426286860877e-13
22469,1.994800873081062e-13
22479,3.7225630245749136e-13
22489,3.900215632980898e-13
22499,3.8959510572572857e-13
22509,6.030641682479753e-13
22519,7.940323029621986e-13
22529,9.405462655907338e-13
22539,1.127018594244141e-12
22549,1.0760523193035108e-12
22559,9.812188240507477e-13
22569,9.477606883181507e-13
22579,7.62467006264958e-13
22589,4.4536758229807754e-13
22599,5.141382282697626e-13
22609,6.025628863952167e-13
22619,5.181611379137483e-13
22629,3.4138073982668395e-13
22639,3.295492722947294e-13
22649,2.1039135390935538e-13
22659,-1.772787683041635e-14
22669,1.8092713902129494e-13
22679,3.5001724004456057e-13
22689,3.202479985102185e-13
22699,3.846920166621631e-13
22709,1.0873654527235632e-13
22719,2.0407698711380145e-13
22729,4.171439047047163e-13
22739,4.36695395893634e-13
22749,3.3575881066059174e-13
22759,2.5031301245220047e-13
22769,3.1682420368771966e-13
22779,1.4363746759410277e-13
22789,-1.7310353318302002e-13
22799,-6.362758816915961e-13
22809,-8.756925928731281e-13
22819,-8.869907213089154e-13
22829,-8.277638472631258e-13
22839,-7.899701075160845e-13
22849,-4.840188998358967e-13
22859,5.477391550491888e-14
22869,5.025958973133282e-14
22879,-1.2755700079924812e-13
22889,7.141462913364673e-14
22899,4.0698086132639e-13
22909,4.509254899661069e-13
22919,4.103385270800042e-13
22929,2.1700369032241456e-13
22939,1.0300677138451839e-13
22949,2.02574447136749e-14
22959,2.368240539495553e-13
22969,2.2211662691540753e-13
22979,3.900692726705729e-13
22989,3.151414824833642e-13
22999,3.152881698035475e-13
23009,5.514744893557953e-13
23019,7.323898510934216e-13
23029,7.342293726955176e-13
23039,5.616857877073664e-13
23049,4.533493691692627e-13
23059,5.494266684407115e-13
23069,7.638277660467453e-13
23079,1.1293759316295998e-12
23089,1.3120135476518816e-12
23099,1.2363700995943137e-12
23109,1.0760969194337751e-12
23119,1.1468677568420534e-12
23129,1.3554833740102692e-12
23139,1.2895523112706057e-12
23149,1.160926164118913e-12
23159,9.616547674472836e-13
23169,6.831462372367581e-13
23179,8.146598399228189e-13
23189,9.953985562165272e-13
23199,8.004635997963185e-13
23209,6.788361493671879e-13
23219,6.622953788890905e-13
23229,8.264195222126164e-13
23239,8.756742304641623e-13
23249,7.764163470600988e-13
23259,6.920472594011638e-13
23269,4.664872815034272e-13
23279,-1.8418885745954247e-13
23289,-5.433720343878966e-14
23299,-1.928376773764725e-13
23309,-1.8220157280574742e-13
23319,-1.6630445886800342e-13
23329,-1.1609878722235967e-13
23339,-1.1204219571947127e-13
23349,-4.868654848218438e-14
23359,-1.35257400797001e-13
23369,-2.7911109963370594e-13
23379,-1.8327536268134607e-13
23389,-4.38413793111691e-14
23399,4.706269053366777e-15
23409,-3.4019415608842545e-14
23419,1.5811104488551614e-13
23429,3.4161732421098994e-13
23439,3.063924864346809e-13
23449,1.2651332937745821e-13
23459,6.56785746370573e-14
23469,-1.9647099379641263e-14
23479,-1.1933391886284603e-15
23489,1.3633770879836786e-13
23499,3.5186700720164194e-13
23509,2.0622430892291325e-13
23519,-1.4028108879956244e-13
23529,-3.4195689393162816e-13
23539,-3.032161091293884e-13
23549,-2.4247527943579975e-13
23559,-2.707982149864508e-13
23569,-2.3876433894783877e-13
23579,-2.868444874394273e-13
23589,-3.141605064370484e-13
23599,-2.1298057685474e-13
23609,-1.3139759619350218e-13
23619,5.738241165869863e-14
23629,2.8236053064082745e-13
23639,2.205494709730066e-13
23649,3.430500173326388e-13
23659,2.856546705556947e-13
23669,1.4946287035308061e-13
23679,1.659684226649929e-13
23689,1.7097138980262477e-13
23699,3.134273424814666e-13
23709,3.4697117865952756e-13
23719,1.7618119088287582e-13
23729,8.365694421975389e-14
23739,-4.877128671859704e-14
23749,1.4605304779480193e-13
