frame_no,translation
10,-2.339026290319417e-13
20,-2.145051273326221e-13
30,2.9890391551459644e-13
40,1.7799086566280005e-13
50,1.9953439375755542e-13
60,7.881358647120991e-14
70,1.3776549523548572e-13
80,9.568138594251124e-14
90,4.4642322325714925e-13
100,3.8540567938051517e-13
110,3.7056458120588564e-13
120,5.063696080661456e-13
130,7.458690889164604e-13
140,6.731803739632501e-13
150,6.900644987191029e-13
160,1.105033753408302e-12
170,1.0112146699703482e-12
180,1.2043228393098285e-12
190,1.2223583324070004e-12
200,1.3622432158135233e-12
210,1.3752470503669872e-12
220,1.0549602887105982e-12
230,1.3361532407165615e-12
240,1.569341027927851e-12
250,1.853296341230992e-12
260,1.7778863170158844e-12
270,1.691884635496632e-12
280,1.8370932189148915e-12
290,1.7874709619980133e-12
300,1.7632262712488581e-12
310,-1.569288413293853e-12
320,-1.5147521959712787e-12
330,1.9574564609269836e-12
340,2.081215176522971e-12
350,2.0080539952823915e-12
360,1.6859279532932899e-12
370,1.3869777910897562e-12
380,9.81422672548412e-13
390,1.0754616602785238e-12
400,1.287553814333716e-12
410,1.4694155686880165e-12
420,1.6094248163749496e-12
430,1.7024661193619377e-12
440,1.5138920123220143e-12
450,1.6555512290444732e-12
460,1.6786521549587155e-12
470,1.8173905711293013e-12
480,2.116888116029563e-12
490,1.9562268570576603e-12
500,1.6062557041130021e-12
510,1.4977031488304997e-12
520,1.28841660945941e-12
530,1.1095746378170456e-12
540,1.1305690241499994e-12
550,1.0929941418572645e-12
560,6.716299614484112e-13
570,4.105067421161054e-13
580,5.518567251256644e-13
590,7.283775435394167e-13
600,7.652981230540578e-13
610,7.304046010769383e-13
620,6.577115991386835e-13
630,1.0119331439543283e-12
640,1.3874738389499888e-12
650,7.104544933647154e-13
660,7.758800015806651e-13
670,6.764445474008524e-13
680,5.404111246774579e-13
690,6.359432536048881e-13
700,8.370830725537095e-13
710,1.0609738933888035e-12
720,9.901043357517894e-13
730,1.0431890531675042e-12
740,1.1471022791462104e-12
750,1.2936672059222174e-12
760,1.3388390004090667e-12
770,1.4702434668756925e-12
780,1.4631262300330237e-12
790,1.5235475540231507e-12
800,1.4323890883286752e-12
810,1.2008965947794349e-12
820,1.1489701236568636e-12
830,1.1036810997045316e-12
840,1.3245321503849052e-12
850,1.2292060204264745e-12
860,1.0802916618709695e-12
870,9.341429771691184e-13
880,8.994943546405589e-13
890,6.922311016128942e-13
900,6.196762806969051e-13
910,5.750750791648997e-13
920,-7.179440888627518e-13
930,-8.476082539577937e-13
940,-1.0644116101681946e-12
950,-1.3220701236477115e-12
960,-1.5189173964032728e-12
970,-1.55579849768737e-12
980,-1.3715992685536396e-12
990,-1.2123281457238515e-12
1000,-1.2654548183917328e-12
1010,-1.1745335560526973e-12
1020,-1.257041332352247e-12
1030,-1.3552593994013564e-12
1040,-1.561821229328444e-12
1050,-1.4481280235305042e-12
1060,-1.3058855250729083e-12
1070,-9.744182401964214e-13
1080,-1.355166418409705e-12
1090,-1.7061599551191935e-12
1100,-1.723727839934518e-12
1110,-1.6434340862092496e-12
1120,-1.5784295965529132e-12
1130,-1.370659260401531e-12
1140,-1.2907659102244805e-12
1150,-1.0194896002217921e-12
1160,-8.275295528704007e-13
1170,-9.55081376533254e-13
1180,-1.1391870411477474e-12
1190,-1.1472681862788035e-12
1200,-1.2260128742314995e-12
1210,-9.614208145081136e-13
1220,-1.0011070809558223e-12
1230,-9.475351102660493e-13
1240,-7.760866947291072e-13
1250,-9.24565786162721e-13
1260,-9.958523890657069e-13
1270,-1.209856805998847e-12
1280,-9.866859063930313e-13
1290,-1.1493281543111216e-12
1300,-1.2935513334712017e-12
1310,-1.1397920061115562e-12
1320,-7.72673058208373e-13
1330,-5.711473582396131e-13
1340,-5.373282539651779e-13
1350,-6.87393403900558e-13
1360,-6.640389212599209e-13
1370,-5.15373672281388e-13
1380,-5.290128620528889e-13
1390,-3.578302514530688e-13
1400,-3.0558937826465686e-13
1410,-1.4544585567210386e-13
1420,-1.6420238768326151e-13
1430,-2.3302828904541985e-13
1440,-4.263000006003119e-13
1450,-1.3568727224750566e-13
1460,-5.467624421129249e-13
1470,-7.475033805623263e-13
1480,-8.78218864352311e-13
1490,-8.64771799047898e-13
1500,-6.657979550448692e-13
1510,-5.045722793755476e-13
1520,-3.181576280242575e-13
1530,-5.129530989675744e-13
1540,-4.131265703135602e-13
1550,-4.612867284039372e-13
1560,-4.888990445410506e-13
1570,-3.4111411695198097e-13
1580,-3.823465124741502e-13
1590,-7.793521132727845e-14
