frame_no,relative_translation,net_relative_translation
10,5.772321070017966e-13,5.772321070017966e-13
20,1.1753529008305591e-12,1.7525850078323558e-12
30,1.3626464828944753e-12,3.115231490726831e-12
40,1.3681031973036552e-12,4.483334688030486e-12
50,6.895309267523256e-13,5.172865614782812e-12
60,4.0473583208897325e-13,5.5776014468717855e-12
70,5.382849053203645e-13,6.11588635219215e-12
80,5.109479489739872e-13,6.626834301166137e-12
90,8.389629794713326e-13,7.46579728063747e-12
100,-3.3067534966154863e-14,7.432729745671315e-12
110,1.071660820993442e-13,7.539895827770659e-12
120,8.624052997218475e-13,8.402301127492506e-12
130,1.0374802753492458e-12,9.439781402841752e-12
140,6.193411997895235e-13,1.0059122602631276e-11
150,8.44659887221301e-14,1.0143588591353406e-11
160,-8.611729962428857e-13,9.28241559511052e-12
170,4.991564172683121e-13,9.781572012378832e-12
180,1.041013659487581e-12,1.0822585671866414e-11
190,1.093013909698234e-12,1.1915599581564647e-11
200,-3.9047870542300995e-13,1.1525120876141637e-11
210,-9.11473269730382e-13,1.0613647606411256e-11
220,-5.304409621370493e-13,1.0083206644274206e-11
230,1.4837312092104703e-13,1.0231579765195253e-11
240,-9.990030912393756e-13,9.232576673955877e-12
250,-2.276351649599634e-13,9.004941508995913e-12
260,-5.950404135166897e-13,8.409901095479223e-12
270,-8.58954759424628e-13,7.550946336054595e-12
280,-8.924330443934703e-13,6.658513291661125e-12
290,-3.9106328683022607e-13,6.267450004830899e-12
300,5.026784494914741e-13,6.7701284543223736e-12
310,-4.075357500535233e-13,6.36259270426885e-12
320,-4.529857500483112e-13,5.9096069542205386e-12
330,-5.40723524338542e-13,5.3688834298819965e-12
340,-7.063811266684095e-13,4.662502303213587e-12
350,1.7192081128697674e-13,4.8344231145005635e-12
360,-1.0535730933526402e-12,3.780850021147923e-12
370,-1.4785541541220152e-12,2.302295867025908e-12
380,-1.4605854558763356e-12,8.417104111495722e-13
390,-7.231981152525137e-13,1.1851229589705853e-13
400,5.754513962597467e-14,1.760574355230332e-13
410,3.0106088914644923e-13,4.771183246694824e-13
420,-1.097275828453799e-12,-6.201575037843165e-13
430,-1.328212427386115e-12,-1.9483699311704314e-12
440,-1.6884900489921142e-12,-3.6368599801625456e-12
450,-5.585227462499232e-13,-4.1953827264124685e-12
460,-1.4412206493652422e-12,-5.6366033757777105e-12
470,-1.9189587239349034e-12,-7.555562099712614e-12
480,-1.9400182108589074e-12,-9.495580310571521e-12
490,-2.296791368003282e-12,-1.1792371678574802e-11
500,-1.592129680983962e-12,-1.3384501359558764e-11
510,-2.2874554169174807e-12,-1.5671956776476245e-11
520,-2.3234275409284412e-12,-1.7995384317404685e-11
530,-7.998938833048376e-13,-1.8795278200709524e-11
540,-2.756392758698982e-13,-1.9070917476579423e-11
550,-1.6030289057105408e-12,-2.0673946382289964e-11
560,-1.5508609197631141e-12,-2.222480730205308e-11
570,-1.2649384590737167e-12,-2.3489745761126795e-11
580,-1.812976885421455e-12,-2.5302722646548252e-11
590,1.0860141238031724e-13,-2.5194121234167936e-11
600,-1.2919987786736378e-12,-2.6486120012841575e-11
610,-1.394802402082833e-12,-2.7880922414924407e-11
620,-1.4041498540749182e-12,-2.9285072268999324e-11
630,7.069717773754175e-13,-2.8578100491623906e-11
640,1.7487289007659182e-13,-2.8403227601547315e-11
650,-5.502105553201597e-13,-2.8953438156867473e-11
660,-1.4472664712785065e-12,-3.0400704628145976e-11
670,-7.105728205167674e-13,-3.111127744866274e-11
680,-7.294392782198328e-13,-3.1840716726882575e-11
690,-5.340907748185381e-13,-3.2374807501701116e-11
700,5.226244036571413e-13,-3.185218309804397e-11
710,1.16174432186842e-12,-3.069043877617555e-11
720,1.0473992061082467e-12,-2.9643039570067304e-11
730,9.16221322767845e-13,-2.872681824729946e-11
740,7.796611225855413e-13,-2.794715712471392e-11
750,2.7737615295831435e-13,-2.7669780971755604e-11
760,-1.325931261432475e-13,-2.7802374097898852e-11
770,-2.190606143663079e-13,-2.802143471226516e-11
780,-3.446132175230987e-13,-2.836604792978826e-11
790,9.564858732481124e-13,-2.740956205654015e-11
800,7.9719090696929e-13,-2.6612371149570858e-11
810,9.31828153020302e-13,-2.5680542996550556e-11
820,7.586714006855802e-13,-2.4921871595864977e-11
830,1.0583961758673245e-12,-2.3863475419997652e-11
840,8.066452800371264e-13,-2.3056830139960525e-11
850,-4.676445116296058e-13,-2.3524474651590132e-11
860,-2.907444435600051e-13,-2.3815219095150138e-11
870,-5.227113091846945e-13,-2.433793040433483e-11
880,4.0251644400959835e-14,-2.4297678759933872e-11
890,-9.353922470275659e-13,-2.5233071006961438e-11
900,4.58133960321136e-13,-2.4774937046640303e-11
910,1.5151926373020472e-12,-2.3259744409338255e-11
920,1.4885782009164156e-12,-2.177116620842184e-11
930,1.1674497303632195e-12,-2.060371647805862e-11
940,1.1062628934124324e-12,-1.9497453584646188e-11
950,1.8708145729707628e-12,-1.7626639011675425e-11
960,2.0243011743913175e-12,-1.5602337837284108e-11
970,1.462735239490498e-12,-1.413960259779361e-11
980,1.7641995047322126e-12,-1.2375403093061397e-11
990,5.479785088344742e-13,-1.1827424584226922e-11
1000,1.163348802975524e-12,-1.0664075781251398e-11
1010,-4.938436525131069e-13,-1.1157919433764506e-11
1020,1.6982148632267013e-12,-9.459704570537804e-12
1030,1.2472706676352335e-12,-8.21243390290257e-12
1040,1.5544226179618328e-12,-6.658011284940737e-12
1050,-5.5177174539641736e-14,-6.713188459480378e-12
1060,-1.6030425397876216e-12,-8.316230999267999e-12
1070,1.5664418656018988e-12,-6.7497891336661e-12
1080,1.714621543840299e-12,-5.035167589825801e-12
1090,1.3678122647665699e-12,-3.667355325059232e-12
1100,-8.619919563307252e-13,-4.529347281389957e-12
1110,-9.683271216982203e-13,-5.4976744030881775e-12
1120,-1.2834664030122316e-12,-6.781140806100409e-12
1130,6.240523421371158e-13,-6.157088463963293e-12
1140,1.2560443202311154e-12,-4.901044143732178e-12
1150,6.718142356862342e-13,-4.229229908045943e-12
1160,2.444461008783067e-13,-3.9847838071676364e-12
1170,-1.6575966358781696e-12,-5.642380443045806e-12
1180,1.3291074883647234e-12,-4.313272954681082e-12
1190,1.4962252445455618e-12,-2.8170477101355203e-12
1200,1.7970784984450289e-12,-1.0199692116904914e-12
1210,1.1202711505008468e-12,1.0030193881035546e-13
1220,-5.758507602052183e-13,-4.755488213948628e-13
1230,-9.915198388834562e-13,-1.467068660278319e-12
1240,2.5122422840269694e-12,1.0451736237486504e-12
1250,2.3457349194103056e-12,3.390908543158956e-12
1260,2.58346224438637e-12,5.974370787545326e-12
1270,-6.069306523007894e-13,5.367440135244536e-12
1280,5.704089775536159e-13,5.937849112798152e-12
1290,-2.258267801026448e-12,3.679581311771704e-12
1300,-1.4722297237881016e-12,2.207351587983602e-12
1310,2.95522526067497e-13,2.502874114051099e-12
1320,-1.0742235453337157e-12,1.4286505687173834e-12
1330,8.381893687834785e-13,2.266839937500862e-12
1340,1.6885246072671218e-12,3.955364544767984e-12
1350,-1.4754645217279135e-12,2.4799000230400702e-12
1360,-1.1996625492727314e-12,1.2802374737673389e-12
1370,-9.613886250767943e-13,3.1884884869054456e-13
1380,1.784189106819381e-12,2.1030379555099255e-12
1390,1.329242812644093e-12,3.4322807681540186e-12
1400,1.1474757622151278e-12,4.5797565303691464e-12
1410,-4.008520827752278e-13,4.178904447593919e-12
1420,1.4932668221967604e-13,4.3282311298135945e-12
1430,5.648559750374843e-13,4.893087104851079e-12
1440,-1.8132297762853692e-13,4.711764127222542e-12
1450,-9.502822138549288e-13,3.761481913367613e-12
1460,1.0845253352973163e-14,3.7723271667205864e-12
1470,5.91646101314687e-13,4.363973268035274e-12
1480,-8.94056365441151e-13,3.4699169025941225e-12
1490,-7.962375492589353e-13,2.6736793533351874e-12
1500,9.180748909732584e-14,2.765486842432513e-12
1510,2.452448617202056e-13,3.0107317041527187e-12
1520,5.3820258996841655e-14,3.0645519631495604e-12
1530,1.306971448425917e-14,3.0776216776338195e-12
1540,-3.871910332031167e-13,2.6904306444307026e-12
1550,-1.0671261292108315e-13,2.5837180315096197e-12
1560,-4.760850724695564e-13,2.107632959040063e-12
1570,-3.8832006103765024e-13,1.7193128980024129e-12
1580,-1.060075496658358e-12,6.592374013440548e-13
1590,-1.0124247918854583e-12,-3.531873905414035e-13
1600,-7.062192634185012e-13,-1.0594066539599047e-12
1610,-2.3143643213035517e-13,-1.29084308609026e-12
1620,-6.434328877010027e-14,-1.3551863748603603e-12
1630,6.153159801719976e-14,-1.2936547768431605e-12
1640,4.589895588659666e-13,-8.34665217977194e-13
1650,1.188244720441536e-13,-7.158407459330404e-13
1660,1.0224991642027893e-12,3.066584182697489e-13
1670,6.800286675435947e-13,9.866870858133436e-13
1680,9.023256307709561e-13,1.8890127165842998e-12
1690,8.361284941535604e-13,2.7251412107378603e-12
1700,8.364610148984306e-13,3.561602225636291e-12
1710,1.1468027800595588e-12,4.70840500569585e-12
1720,-1.686585250189391e-13,4.539746480676911e-12
1730,1.430639808491091e-13,4.68281046152602e-12
1740,-4.019101287105423e-13,4.280900332815478e-12
1750,1.0311897949788817e-12,5.312090127794359e-12
1760,1.2775296617395503e-13,5.439843093968315e-12
1770,-6.412176818403067e-13,4.798625412128008e-12
1780,5.528358818094122e-13,5.35146129393742e-12
1790,1.0695644285570686e-12,6.421025722494489e-12
1800,1.1300127900764137e-12,7.551038512570902e-12
1810,-1.417549462725607e-13,7.409283566298342e-12
1820,-7.828708256468435e-13,6.626412740651498e-12
1830,3.6441551711689406e-13,6.990828257768392e-12
1840,-9.4268428715433e-13,6.048143970614062e-12
1850,1.4153741151680499e-12,7.463518085782112e-12
1860,-1.3112570138582816e-12,6.15226107192383e-12
1870,4.325089318212554e-13,6.584770003745086e-12
1880,2.3770373168400246e-13,6.822473735429088e-12
1890,7.952480997582473e-13,7.617721835187335e-12
1900,5.260567092444376e-13,8.143778544431771e-12
1910,-1.053821920004344e-13,8.038396352431336e-12
1920,-3.417202362944156e-13,7.696676116136921e-12
1930,2.540269552862784e-13,7.950703071423199e-12
1940,9.635352969629517e-13,8.914238368386151e-12
1950,7.368355501789034e-13,9.651073918565054e-12
1960,1.0346974773903783e-13,9.754543666304091e-12
1970,-5.436747290412227e-13,9.210868937262868e-12
1980,2.322691622203763e-14,9.234095853484906e-12
1990,5.684955651382014e-13,9.802591418623108e-12
2000,2.4661923617200815e-13,1.0049210654795116e-11
2010,-2.658340305184181e-13,9.783376624276698e-12
2020,-3.6622237257646076e-13,9.417154251700236e-12
2030,-6.079574100491607e-13,8.809196841651075e-12
2040,3.1212978638010224e-13,9.121326628031178e-12
2050,-2.3901814313994285e-13,8.882308484891235e-12
2060,5.101519488267787e-13,9.392460433718014e-12
2070,-9.141879200738397e-13,8.478272513644174e-12
2080,4.978264386038985e-13,8.976098952248073e-12
2090,-5.661981239650744e-13,8.409900828282999e-12
2100,4.3009765524522523e-13,8.839998483528224e-12
2110,2.9214806830176294e-13,9.132146551829987e-12
2120,5.422599926319213e-13,9.674406544461908e-12
2130,-7.084429047693061e-13,8.965963639692601e-12
2140,-1.3547094092185077e-12,7.611254230474093e-12
2150,-2.6569592200245724e-13,7.345558308471636e-12
2160,-7.864790918884097e-14,7.2669103992827944e-12
2170,4.957088591287616e-13,7.762619258411557e-12
2180,1.3760211382213759e-12,9.138640396632933e-12
2190,-9.134387772073149e-14,9.0472965189122e-12
2200,2.2412246819095845e-13,9.27141898710316e-12
2210,-1.0681190826731973e-12,8.203299904429962e-12
2220,6.343639074682052e-13,8.837663811898168e-12
2230,-6.876531135745143e-13,8.150010698323654e-12
2240,-1.10322964972734e-12,7.046781048596314e-12
2250,-3.154985012178438e-13,6.73128254737847e-12
2260,-1.6046512870800869e-12,5.126631260298383e-12
2270,3.958402909321489e-13,5.522471551230532e-12
2280,5.905491619129777e-14,5.58152646742183e-12
2290,1.4575680980577696e-12,7.039094565479599e-12
2300,6.536524884308538e-13,7.692747053910453e-12
2310,-6.713978173964256e-13,7.0213492365140275e-12
2320,-6.736298840802139e-13,6.347719352433814e-12
2330,-1.7161048259715166e-12,4.631614526462297e-12
2340,-5.464483620302885e-13,4.085166164432009e-12
2350,-1.9178600685323072e-12,2.1673060958997014e-12
2360,-1.1325668664779327e-12,1.0347392294217687e-12
2370,-8.695440896335578e-13,1.6519513978821095e-13
2380,-1.3620405706588209e-12,-1.19684543087061e-12
2390,-4.886234285523221e-13,-1.685468859422932e-12
2400,-5.525822971699624e-13,-2.2380511565928944e-12
2410,1.8490890709737368e-13,-2.0531422494955208e-12
2420,-3.2887966079973037e-13,-2.3820219102952513e-12
2430,-3.5396933518341867e-13,-2.73599124547867e-12
2440,-3.1686988079804715e-13,-3.0528611262767167e-12
2450,1.5852444905931486e-13,-2.894336677217402e-12
2460,7.444184548428407e-13,-2.149918222374561e-12
2470,-5.42915109436863e-13,-2.6928333318114243e-12
2480,-1.5089277275502162e-12,-4.20176105936164e-12
2490,-6.913472546507872e-13,-4.893108314012427e-12
2500,-8.003442146860534e-13,-5.693452528698481e-12
2510,1.097317292138648e-13,-5.583720799484616e-12
2520,-6.576640874985142e-13,-6.2413848869831295e-12
2530,-1.212279233869147e-12,-7.453664120852276e-12
2540,-1.005714701211862e-12,-8.459378822064137e-12
2550,-5.191008872309472e-13,-8.978479709295084e-12
2560,-1.5411482934128615e-12,-1.0519628002707945e-11
2570,-2.396508998016045e-12,-1.291613700072399e-11
2580,-7.771800063895939e-13,-1.3693317007113584e-11
2590,-3.1088101358271723e-14,-1.3724405108471855e-11
2600,-1.2435523453536512e-12,-1.4967957453825506e-11
2610,-1.953915810577338e-12,-1.6921873264402845e-11
2620,-2.1213018072820406e-12,-1.9043175071684884e-11
2630,-1.607544634329609e-12,-2.0650719706014495e-11
2640,-1.6559760834385264e-12,-2.230669578945302e-11
2650,-1.1179585621282863e-12,-2.3424654351581306e-11
2660,9.676180583822886e-14,-2.3327892545743078e-11
2670,-4.994730175465047e-13,-2.3827365563289583e-11
2680,1.949424344759531e-13,-2.363242312881363e-11
2690,-5.34956273382009e-13,-2.416737940219564e-11
2700,1.395929364159447e-12,-2.2771450038036194e-11
2710,-9.51634077470672e-13,-2.3723084115506867e-11
2720,-1.2814025531609013e-12,-2.5004486668667768e-11
2730,-1.3723098163793906e-12,-2.637679648504716e-11
2740,-1.3711663080400984e-12,-2.7747962793087256e-11
2750,2.404730020316002e-13,-2.7507489791055656e-11
2760,1.0291022685227568e-12,-2.64783875225329e-11
2770,3.5398556637650303e-13,-2.6124401956156397e-11
2780,-6.310875801982003e-13,-2.6755489536354598e-11
2790,-4.780692300591264e-13,-2.7233558766413726e-11
2800,3.1511559318107286e-13,-2.6918443173232654e-11
2810,-3.040131219582826e-13,-2.7222456295190937e-11
2820,8.566646623433775e-13,-2.636579163284756e-11
2830,5.51239737431683e-13,-2.5814551895415878e-11
2840,8.09565742207423e-13,-2.5004986153208455e-11
2850,-7.494066515104023e-13,-2.5754392804718856e-11
2860,4.992609191738967e-13,-2.525513188554496e-11
2870,3.1868138757815413e-13,-2.4936450497966806e-11
2880,-1.4423404995834443e-13,-2.508068454792515e-11
