frame_no,translation
10,1.2326052296335116e-12
20,1.7701565517279014e-12
30,1.8978709708180624e-12
40,1.6689188189506606e-12
50,1.5793462695974599e-12
60,1.7892170817194182e-12
70,2.0272757091339385e-12
80,2.1400159540296585e-12
90,2.0407518933734832e-12
100,1.6820843838906016e-12
110,1.3503570809277013e-12
120,1.2712269898171632e-12
130,1.1673750374867439e-12
140,9.970878150591333e-13
150,1.1488828714357618e-12
160,1.3951857206996122e-12
170,1.416381181731715e-12
180,1.4377372665210428e-12
190,1.4185024821534639e-12
200,1.468620429165265e-12
210,1.6041348734797543e-12
220,1.6352258052121895e-12
230,1.4110956633142473e-12
240,1.1852904680005967e-12
250,9.51358211217065e-13
260,5.796899772196058e-13
270,3.518985620542158e-13
280,1.8924957699094036e-13
290,-1.8187463487821517e-14
300,-4.86015872331476e-13
310,-7.685459433885058e-13
320,-5.205702840594304e-13
330,-5.864169244862957e-13
340,-6.547148033836071e-13
350,-3.52712064964354e-13
360,-1.0244473345013667e-13
370,-1.9642886520958403e-13
380,-4.043189465673596e-13
390,-4.99308177496503e-13
400,-3.788564189913213e-13
410,-7.101667175701336e-13
420,-6.983111451299241e-13
430,-5.341909228816011e-13
440,-4.221980788863229e-13
450,-7.832146287957576e-14
460,-8.186223408580662e-14
470,1.3764844583915425e-13
480,5.067099052211974e-13
490,4.3148928478820974e-13
500,2.7734922231697247e-13
510,4.587047083864828e-13
520,4.22259831920149e-13
530,4.2089349833058856e-13
540,4.805600573797704e-13
550,4.4952849978230993e-13
560,6.255776629314509e-13
570,5.716125076446365e-13
580,5.920820819643284e-13
590,5.85061746349535e-13
600,6.317579772294094e-13
610,2.496283067614241e-13
620,2.350666536628764e-13
630,1.952374859877297e-13
640,8.537370496947968e-14
650,-1.1508759880822266e-14
660,-5.851636117919798e-14
670,1.7506842713148538e-13
680,2.650912818138381e-13
690,9.741022363590754e-14
700,1.9167714960190703e-13
710,1.467350413215717e-13
720,2.0334016820150702e-13
730,5.650227279290619e-14
740,-1.8193577552565315e-13
750,-4.661732101777879e-13
760,-3.54404794836596e-13
770,-4.727168783186978e-13
780,-8.924866757789403e-13
790,-9.833501311882706e-13
800,-1.1262893448384258e-12
810,-1.3424503432895411e-12
820,-1.3401401528475932e-12
830,-1.2112085405291378e-12
840,-1.3121889356481248e-12
850,-1.1942190477229087e-12
860,-1.1952060664227585e-12
870,-1.0631409954493323e-12
880,-8.35094049981059e-13
890,-6.850700292391257e-13
900,-6.575450984576624e-13
910,-5.575473924805731e-13
920,-5.40663340397378e-13
930,-6.86463449815683e-13
940,-5.019634578846313e-13
950,-5.074364954530695e-13
960,-3.6116747721994503e-13
970,-1.592665682154975e-13
980,7.125849327913529e-14
990,9.898559784522083e-14
1000,2.3800931136276915e-13
1010,5.689355297192942e-13
1020,1.2174934464496013e-12
1030,1.0172885498733357e-12
1040,1.1576629814573592e-12
1050,1.1111893360872654e-12
1060,1.2043801572877319e-12
1070,1.3504548579741162e-12
1080,1.5303137362525324e-12
1090,1.1017965158655944e-12
1100,1.0752406366737547e-12
1110,1.0507331303815043e-12
1120,1.1614150395367724e-12
1130,1.3087459971287712e-12
1140,1.3277021668699384e-12
1150,1.3514727194228668e-12
1160,1.5909724677451141e-12
1170,1.6278972009063328e-12
1180,1.6738439243384895e-12
1190,1.5609504414701424e-12
1200,1.4250553294170695e-12
1210,1.2092996193651018e-12
1220,8.177675893563313e-13
1230,8.326786132749024e-13
1240,5.267550961303542e-13
1250,-6.249792909709242e-14
1260,-4.884308123151487e-13
1270,-6.866742537694127e-13
1280,-8.360446229705e-13
1290,-6.786745662369138e-13
1300,-7.825662933495665e-13
1310,-7.682343924788841e-13
1320,-7.764195852525562e-13
1330,-1.0771975651023812e-12
1340,-1.1000862193113186e-12
1350,-1.451169899160965e-12
1360,-1.6444866160271285e-12
1370,-1.5245374468786429e-12
1380,-1.4572919981867867e-12
1390,-1.3613888227975262e-12
1400,-1.1971893757564931e-12
1410,-7.403195911016649e-13
1420,-6.630431571753287e-13
1430,-6.049244608398409e-13
1440,-5.366751354350686e-13
1450,-7.98950695524733e-13
1460,-5.939056146957608e-13
1470,-4.0103711945795056e-13
1480,-1.8506652602164515e-13
1490,-4.4002532580539207e-13
1500,-4.454032975927096e-13
1510,-3.624855729172556e-13
1520,-3.208990564760854e-13
1530,-6.0239934915476e-13
1540,-9.004082556170422e-13
1550,-1.134710992120792e-12
1560,-8.756034766250703e-13
1570,-9.901761428554562e-13
1580,-1.2753145564052734e-12
1590,-1.2638697935634773e-12
1600,-1.0626966735229103e-12
1610,-1.3755319682768067e-12
1620,-1.3374177971048607e-12
1630,-1.2889372664151908e-12
1640,-8.853083024452121e-13
1650,-9.321610675619709e-13
1660,-9.427696812122662e-13
1670,-5.94372157554871e-13
1680,-4.127570729454194e-13
1690,-2.788895773119505e-13
1700,-2.939781951114983e-13
1710,-5.215300257977062e-13
1720,-3.377037185829387e-13
1730,-3.477625102984378e-13
1740,-2.7092891863512834e-13
1750,-6.203430360900201e-14
1760,-2.253484285242856e-13
1770,-9.129153469388866e-14
1780,1.0424723652267591e-14
1790,2.8127144615203243e-13
1800,7.506985409210183e-13
1810,4.692916128679365e-13
1820,3.4191259228265736e-13
1830,3.6144264846903726e-13
1840,6.288384425615121e-13
1850,6.357730584229838e-13
1860,5.870218512926128e-13
1870,7.433464039004083e-13
1880,7.961019945300759e-13
1890,4.987238971295339e-13
1900,3.5031979667834523e-13
1910,5.056529011675363e-13
1920,6.33810483614518e-13
1930,9.345094763113968e-13
1940,8.713486272672876e-13
1950,9.544340597598395e-13
1960,1.3166652725835193e-12
1970,1.450136510523801e-12
1980,1.4477839755621359e-12
1990,1.7654927676706959e-12
2000,1.6223063050283329e-12
2010,1.1544110408885623e-12
2020,1.1809149554943304e-12
2030,1.1242238999104343e-12
2040,9.320374147902164e-13
2050,3.8275384651190634e-13
2060,6.106251948769209e-13
2070,5.586189309465195e-13
2080,2.584054841446991e-13
2090,8.421950567937317e-13
2100,1.1257976429850463e-12
2110,1.2969390515341478e-12
2120,1.3751532256595894e-12
2130,1.451233097108882e-12
2140,1.2576565925693866e-12
2150,1.2834119575553068e-12
2160,1.3649283202487733e-12
2170,1.1720721333369194e-12
2180,1.593092875460717e-12
2190,2.043056760034277e-12
2200,2.2759736980587006e-12
2210,2.365030598680509e-12
2220,2.2576898724028546e-12
2230,2.0341223794089756e-12
2240,1.8010190414649994e-12
2250,1.834790789099535e-12
2260,1.9580745237098936e-12
2270,1.99965344853958e-12
2280,1.9070248274997407e-12
2290,1.9959225013064062e-12
2300,2.0466656285011293e-12
2310,2.009660979142532e-12
2320,1.9251888770642708e-12
2330,1.9045599177233597e-12
2340,1.906417535914395e-12
2350,1.988542977986429e-12
2360,2.045274443325249e-12
2370,1.8503405020057056e-12
2380,1.9797277913150632e-12
2390,1.616551045695655e-12
2400,1.6551798050593336e-12
2410,1.4021026109548155e-12
2420,1.2948456567118798e-12
2430,9.011851916022444e-13
2440,1.097299581263874e-12
2450,7.426893895705913e-13
2460,5.940822540506127e-13
2470,4.946947292420314e-13
2480,7.519315573377824e-13
2490,8.283971771645224e-13
2500,5.354403693491167e-13
2510,4.980397171789904e-13
2520,4.1465250007217185e-13
2530,3.2106746269194075e-13
2540,4.1918615508002336e-13
2550,3.252631761134298e-13
2560,1.914643278690151e-14
2570,-8.250354527568246e-14
2580,-2.996817700640497e-13
2590,-2.8828051767401963e-13
2600,-3.3483151344166577e-13
2610,-1.1595762685729713e-13
2620,-2.336655381938519e-13
2630,-1.876237307356484e-13
2640,-2.4543657899242737e-13
2650,-3.5430695892669703e-13
2660,-1.9414095362344287e-13
2670,-1.7134693316943123e-13
2680,5.029515907683333e-14
2690,1.753826677452459e-13
2700,7.17360226507675e-13
2710,7.414746440005867e-13
2720,4.1899239283655126e-13
2730,5.526043717920298e-13
2740,7.429310996753043e-13
2750,8.151211574786307e-13
2760,8.461531829103777e-13
2770,9.595352194308404e-13
2780,1.0515185823168295e-12
2790,1.3314789328809904e-12
2800,1.3331501317543e-12
2810,1.3329191108222566e-12
2820,1.2170642611693702e-12
2830,1.3496441620646844e-12
2840,1.7163532644086182e-12
2850,1.8501978562928382e-12
2860,2.003094957458476e-12
2870,2.096837146915129e-12
2880,2.1779434903326985e-12
2890,2.05287518852215e-12
2900,2.015946199049796e-12
2910,2.0137253248040433e-12
2920,1.9620432564147055e-12
2930,1.9173139654490935e-12
2940,2.3512186854541834e-12
