frame_no,translation
10,-5.511610485205095e-13
20,-5.974940842755196e-13
30,-4.526411285381271e-13
40,-5.627877968354567e-13
50,-5.15561849940268e-13
60,-5.993173162882255e-13
70,-6.362122025073238e-13
80,-5.32469429383423e-13
90,-4.593262632757653e-13
100,-3.323696810477878e-13
110,-3.532659519175292e-13
120,-3.3822358580965803e-13
130,-2.7992808274965987e-13
140,-5.034334313714009e-13
150,-4.446339994922498e-13
160,-2.370285197745001e-13
170,-3.8279933549944755e-13
180,-4.225644479246021e-13
190,-6.534145454683824e-13
200,-4.77462474912636e-13
210,-5.449941379967234e-13
220,-3.0823864211490933e-13
230,-4.251824347496538e-13
240,-4.850817182711308e-13
250,-7.932278540435978e-13
260,-8.376755610690497e-13
270,-6.830851436819094e-13
280,-6.811676021482257e-13
290,-8.812147992181969e-13
300,-8.070930777580501e-13
310,-8.00344792584189e-13
320,-8.62389271295998e-13
330,-9.133659918063314e-13
340,-9.006703705555524e-13
350,-1.0448621178940473e-12
360,-9.693681100689092e-13
370,-9.205648272544828e-13
380,-8.638896382610635e-13
390,-8.545472331401553e-13
400,-7.564630449979816e-13
410,-3.3168128477271635e-13
420,-1.8200856745623664e-13
430,1.42466995129127e-13
440,2.424586501743492e-13
450,1.8142817881617466e-13
460,1.926771508689231e-13
470,3.308661320545728e-14
480,-2.138779251651519e-14
490,-2.5268907083783807e-13
500,-7.526877288616551e-14
510,-7.367069828539179e-14
520,-1.8139825798204715e-13
530,-1.462539325695059e-13
540,-2.064619387903007e-14
550,-3.038100802047665e-13
560,-2.5309335049308724e-13
570,-3.113454757821625e-13
580,-2.378818758013679e-13
590,-4.4428324667008515e-13
600,-1.6037120542808634e-13
610,3.8009494133979325e-14
620,2.3399192339277544e-13
630,2.4498987592139093e-13
640,3.055028050653117e-13
650,4.493829117713865e-13
660,3.709343535403448e-13
670,3.9331570458162995e-13
680,3.924153817303762e-13
690,4.403199380190912e-13
700,2.5951831062522243e-13
710,2.2777436904934916e-13
720,3.1693941043542497e-13
730,1.8616814763137465e-13
740,-1.3407506401005663e-14
750,-1.184990520457026e-13
760,-2.798868844672976e-13
770,3.300172888631547e-14
780,7.60921535166193e-15
790,-1.774566794615424e-13
800,-5.688553216233448e-14
810,8.770533293295811e-14
820,-5.423483822374036e-14
830,-2.9552673263252933e-14
840,-6.936223283678848e-14
850,3.849860957437988e-14
860,-4.779249168153715e-14
870,-1.2180545650479525e-13
880,-1.4712395415011343e-13
890,-7.082546322769487e-14
900,1.7370002766733453e-13
910,1.581417850668861e-13
920,5.700703855155452e-14
930,-4.673344122615516e-14
940,-4.3896322984434885e-14
950,-1.7951615618571324e-13
960,-1.0133126004346791e-13
970,-5.716200621009013e-14
980,-1.9072994733394214e-13
990,-2.208900278635622e-13
1000,-2.7262372956186274e-13
1010,-1.5760716912174282e-13
1020,-1.2837392195743122e-13
1030,-2.906789942603249e-13
1040,-5.038210488413845e-14
1050,3.3269828946286593e-13
1060,3.1550683027161515e-13
1070,5.821358105212044e-13
1080,7.809886849597695e-13
