frame_no,translation
10,1.958634765245779e-12
20,2.074278710833862e-12
30,2.0628306174533554e-12
40,1.857162880803551e-12
50,1.817166898388385e-12
60,2.0747451882882905e-12
70,2.387435889883266e-12
80,2.426627389565291e-12
90,2.3968692225040706e-12
100,1.8655389717539914e-12
110,1.3222632203956705e-12
120,1.10764824592745e-12
130,9.882910088562133e-13
140,7.89185597056403e-13
150,1.393399645809647e-12
160,1.9728737032276773e-12
170,2.1174762830872813e-12
180,2.19384179203819e-12
190,2.3452844827937923e-12
200,2.196764265432776e-12
210,2.1799598411759505e-12
220,2.1176615322030796e-12
230,1.8600767725633958e-12
240,1.5048432683758384e-12
250,1.1194459097902931e-12
260,8.037970987254313e-13
270,5.478556912108867e-13
280,9.169965617337582e-13
290,9.447608708690695e-13
300,1.111492928800125e-12
310,1.1873850466946828e-12
320,1.06072486120095e-12
330,1.0019753808555497e-12
340,1.2055381543773763e-12
350,1.3127934367256207e-12
360,1.2333952795933021e-12
370,1.1209891632709676e-12
380,1.0199217609208348e-12
390,1.0958185445319382e-12
400,1.4961670760853026e-12
410,1.935507826498176e-12
420,1.7248821464739654e-12
430,1.8596485490554175e-12
440,1.7357237017032193e-12
450,1.5598158203218038e-12
460,1.488481273917425e-12
470,1.284764821854811e-12
480,1.3255839481923359e-12
490,1.271609880328723e-12
500,1.5355543936848025e-12
510,1.8554069152882892e-12
520,2.1678843884813997e-12
530,2.074637332163539e-12
540,2.0676839219899303e-12
550,2.1754881570654434e-12
560,1.9995195888961324e-12
570,1.7318598766216668e-12
580,1.5739810983399252e-12
590,1.4214730288500154e-12
600,1.0925650424728523e-12
610,8.429060714048295e-13
620,7.859239706970456e-13
630,9.735749494579722e-14
640,8.688927022917209e-13
650,7.993508109315582e-13
660,2.0058487500837798e-13
670,2.1108073558531348e-13
680,3.500233913382915e-13
690,2.830439833554514e-13
700,1.560360719295166e-13
710,6.296842680206232e-14
720,2.1897973848515188e-13
730,8.466456681134786e-13
740,8.323273039389802e-13
750,1.1060967036681401e-12
760,8.103408982688799e-13
770,8.399036520899508e-13
780,1.1558230594617102e-12
790,1.227827918875854e-12
800,1.4068270070715081e-12
810,1.4708619591098568e-12
820,1.552489842419365e-12
830,1.459108234934296e-12
