frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
10,"[-0.0032982416916613744, -0.0050745420097282334, 0.012301814419446444]","[12.26582478701805, 15.979874720847228, 4.645478731293055]",[ 0.98324591 -0.04023713  1.        ],"[12.26582478701805, 15.979874720847228, 4.645478731293055]",61.21201392358016
20,"[0.00047329275971996765, -0.0008116633680490537, 0.008978104102776996]","[12.262526545326388, 15.9748001788375, 4.657780545712502]",[ 0.99525964 -0.04219122  1.        ],"[12.262526545326388, 15.9748001788375, 4.657780545712502]",41.90300279913476
30,"[-0.008963379356947243, 0.0020479485430637823, -0.0022871022222217263]","[12.262999838086108, 15.97398851546945, 4.666758649815279]",[-1.00918721  0.04606    -1.        ],"[12.262999838086108, 15.97398851546945, 4.666758649815279]",31.95327469804807
40,"[0.0004988502680571827, -0.006490377270832681, -0.004149551772220761]","[12.271963217443055, 15.971940566926387, 4.6690457520375]",[-1.01394762  0.04464117 -1.        ],"[12.271963217443055, 15.971940566926387, 4.6690457520375]",72.24560311986347
50,"[0.0020555708319420773, -0.0056726171208296705, 0.004002946749997349]","[12.272462067711112, 15.965450189655554, 4.66489620026528]",[ 1.00134406 -0.04922712  1.        ],"[12.272462067711112, 15.965450189655554, 4.66489620026528]",51.79991798781736
60,"[-0.002696057234720328, 0.007639766359721634, 0.015750532405555795]","[12.274517638543054, 15.959777572534724, 4.668899147015277]",[ 0.99222142 -0.0468615   1.        ],"[12.274517638543054, 15.959777572534724, 4.668899147015277]",59.3755366047555
70,"[0.007096184009720119, 0.003145013688889975, 0.0055681550611152986]","[12.271821581308334, 15.967417338894446, 4.684649679420833]",[ 1.00213138 -0.05182147  1.        ],"[12.271821581308334, 15.967417338894446, 4.684649679420833]",22.34687803101868
80,"[0.007555941851391523, -0.010511066538894553, 0.0006333435402732235]","[12.278917765318054, 15.970562352583336, 4.690217834481948]",[ 1.01402053 -0.04738234  1.        ],"[12.278917765318054, 15.970562352583336, 4.690217834481948]",61.56695328264802
90,"[0.0008524116458321629, -0.018751657588882864, -0.00765879870694075]","[12.286473707169446, 15.960051286044441, 4.690851178022221]",[-1.02231534  0.05107403 -1.        ],"[12.286473707169446, 15.960051286044441, 4.690851178022221]",78.40771453666157
100,"[0.012867689445830166, -0.004478645244443413, 0.01135272322916503]","[12.287326118815278, 15.941299628455559, 4.6831923793152805]",[ 1.02921964 -0.04880496  1.        ],"[12.287326118815278, 15.941299628455559, 4.6831923793152805]",12.968082200470334
110,"[0.013166553361115163, 0.007024382336107138, 0.011100528272222299]","[12.300193808261108, 15.936820983211115, 4.694545102544446]",[ 1.01442575 -0.05553016  1.        ],"[12.300193808261108, 15.936820983211115, 4.694545102544446]",24.806965097170956
120,"[0.011558980756944948, -0.0002081313347161995, 0.016753846312494325]","[12.313360361622223, 15.943845365547222, 4.705645630816668]",[ 0.99408052 -0.05123333  1.        ],"[12.313360361622223, 15.943845365547222, 4.705645630816668]",10.33262735350139
130,"[-0.005007309694445183, -0.011779477033337926, -0.0008926583222201856]","[12.324919342379168, 15.943637234212506, 4.722399477129162]",[-0.99606662  0.06364068 -1.        ],"[12.324919342379168, 15.943637234212506, 4.722399477129162]",73.5594152245941
